計測名,至適速度
計測日時,2021/4/19 13:58
動画 オフセット(sec),0
,
センサ名,センサー1
パラメータ名,電圧
,
サンプリング周波数,1000
データビット数,12
,
,
,
No,電圧
6926,0.006690979
6927,0.04416084
6928,0.0521903
6929,0.09769011
6930,0.1458654
6931,0.1458654
6932,0.1967177
6933,0.1217775
6934,-0.1860118
6935,-0.1405129
6936,-0.05754328
6937,-0.06557274
6938,-0.0521903
6939,-0.02810287
6940,-0.02810287
6941,-0.1057191
6942,-0.07627821
6943,-0.04416132
6944,-0.004014492
6945,-0.006691456
6946,-0.0227499
6947,-0.03077888
6948,-0.02007341
6949,-0.01739693
6950,-0.02542591
6951,-0.03077888
6952,-0.03880835
6953,-0.03880835
6954,-0.03345537
6955,-0.03613186
6956,-0.02542591
6957,-0.01472044
6958,-0.02007341
6959,-0.03613186
6960,-0.04416132
6961,-0.04148436
6962,-0.04951429
6963,-0.05754328
6964,-0.05486679
6965,-0.03880835
6966,-0.04951429
6967,-0.04683733
6968,-0.03613186
6969,-0.01739693
6970,0.004014969
6971,-0.001338482
6972,-0.006691456
6973,0.01204395
6974,0.004014969
6975,-0.01739693
6976,-0.03613186
6977,-0.03880835
6978,-0.02542591
6979,-0.01739693
6980,-0.02542591
6981,-0.0227499
6982,-0.004014492
6983,-0.009367466
6984,0.01472044
6985,0.02274942
6986,0.01739693
6987,0.02274942
6988,-0.001338482
6989,-0.03613186
6990,-0.04951429
6991,-0.06021976
6992,-0.04148436
6993,-0.01472044
6994,0.02274942
6995,0.02007341
6996,0.01739693
6997,0.03880835
6998,0.03880835
6999,0.02274942
7000,0.004014969
7001,-0.01472044
7002,-0.01739693
7003,-0.01739693
7004,-0.02542591
7005,-0.01472044
7006,-0.004014492
7007,-0.01204395
7008,-0.006691456
7009,0.02542639
7010,0.04951382
7011,0.0521903
7012,0.04951382
7013,0.04148483
7014,0.02007341
7015,-0.02810287
7016,-0.02007341
7017,0.006690979
7018,0.006690979
7019,0.01204395
7020,0.02542639
7021,0.004014969
7022,-0.04148436
7023,-0.1003666
7024,-0.1324835
7025,-0.1485419
7026,-0.1324835
7027,-0.09501362
7028,-0.03613186
7029,0.001338005
7030,0.03345537
7031,0.08430767
7032,0.08163166
7033,0.03880835
7034,-0.03345537
7035,-0.0521903
7036,-0.04951429
7037,-0.04148436
7038,-0.03345537
7039,-0.03077888
7040,-0.03880835
7041,-0.03880835
7042,-0.04416132
7043,-0.04683733
7044,-0.02542591
7045,-0.009367466
7046,0.006690979
7047,0.009367943
7048,0.01204395
7049,0.02007341
7050,0.0281024
7051,-0.01472044
7052,-0.04416132
7053,-0.04683733
7054,-0.02542591
7055,0.006690979
7056,0.03880835
7057,0.03077936
7058,0.001338005
7059,-0.07092571
7060,-0.06289577
7061,-0.03880835
7062,-0.01739693
7063,-0.001338482
7064,0.01204395
7065,0.03077936
7066,0.03880835
7067,0.0281024
7068,0.01472044
7069,0.001338005
7070,-0.01472044
7071,-0.01204395
7072,-0.01204395
7073,-0.04148436
7074,-0.06824923
7075,-0.0521903
7076,-0.01472044
7077,0.009367943
7078,0.009367943
7079,0.006690979
7080,0.001338005
7081,0.009367943
7082,0.0281024
7083,0.0281024
7084,-0.006691456
7085,-0.02007341
7086,-0.02542591
7087,-0.0227499
7088,-0.03077888
7089,-0.04683733
7090,-0.06289577
7091,-0.05486679
7092,-0.04416132
7093,-0.04683733
7094,-0.04416132
7095,-0.03880835
7096,-0.04148436
7097,-0.04148436
7098,0.001338005
7099,0.006690979
7100,-0.01204395
7101,0.02274942
7102,0.07092571
7103,0.04683781
7104,0.04148483
7105,0.01739693
7106,-0.01204395
7107,0.006690979
7108,0.004014969
7109,-0.02007341
7110,-0.009367466
7111,0.001338005
7112,-0.0227499
7113,-0.02542591
7114,-0.01739693
7115,-0.01204395
7116,-0.01204395
7117,-0.0227499
7118,-0.02542591
7119,-0.03345537
7120,-0.03880835
7121,-0.03613186
7122,-0.03880835
7123,-0.0227499
7124,-0.004014492
7125,0.01739693
7126,0.02007341
7127,0.009367943
7128,-0.004014492
7129,-0.02007341
7130,-0.01472044
7131,0.004014969
7132,0.006690979
7133,-0.02007341
7134,-0.03880835
7135,-0.03345537
7136,-0.03345537
7137,-0.0227499
7138,-0.01472044
7139,-0.01204395
7140,-0.01472044
7141,-0.02542591
7142,-0.0227499
7143,-0.02007341
7144,-0.03345537
7145,-0.04148436
7146,-0.02542591
7147,-0.03345537
7148,-0.03077888
7149,-0.04148436
7150,-0.01472044
7151,0.03613186
7152,0.06289625
7153,0.0521903
7154,0.001338005
7155,-0.01739693
7156,-0.04148436
7157,-0.03613186
7158,-0.01739693
7159,-0.01739693
7160,0.001338005
7161,0.02274942
7162,0.03345537
7163,0.01204395
7164,-0.01204395
7165,-0.0521903
7166,-0.03880835
7167,-0.02810287
7168,-0.01204395
7169,-0.01204395
7170,-0.01204395
7171,-0.009367466
7172,-0.006691456
7173,-0.01739693
7174,-0.02810287
7175,-0.01739693
7176,-0.009367466
7177,-0.004014492
7178,-0.01204395
7179,-0.0227499
7180,-0.02542591
7181,-0.02810287
7182,-0.0227499
7183,-0.01472044
