time,ëO„¯çúãÿ
1,-0.2636285
2,-0.1806593
3,0.06021976
4,0.08163166
5,-0.06824923
6,-0.1512189
7,-0.1565714
8,0.2743344
9,0.3064518
10,0.2315116
11,0.08698416
12,0.1137486
13,0.1217775
14,-0.05754328
15,-0.1592479
16,-0.1431894
17,-0.13516
18,-0.3251867
19,-0.2823639
20,0.07092571
21,-0.1083956
22,-0.1083956
23,0.03077936
24,0.389421
25,0.263629
26,-0.01204395
27,-0.1110721
28,-0.1485419
29,-0.1485419
30,-0.3787155
31,-0.5955067
32,-0.3278632
33,0.6222711
34,0.9220319
35,0.3010988
36,0.06021976
37,-0.2154531
38,-0.1833358
39,-0.001338482
40,-0.08163118
41,-0.2074237
42,-0.2395411
43,-0.2154531
44,0.2181292
45,0.2154531
46,0.08966064
47,0.0521903
48,-0.09768963
49,-0.1646008
50,-0.116425
51,0.006690979
52,0.1753068
53,0.1993942
54,-0.1565714
55,-0.2716579
56,-0.1646008
57,-0.1672773
58,-0.3840685
59,-0.2957463
60,-0.2208056
61,-0.2208056
62,-0.03077888
63,-0.04683733
64,0.4857726
65,0.01739693
66,-0.2422171
67,0.06824923
68,0.07627869
69,0.04148483
70,0.4884496
71,0.1512184
72,0.129807
73,0.13516
74,0.05754328
75,-0.03345537
76,-0.1940417
77,-0.4215384
78,-0.5901537
79,-0.381392
80,-0.1137481
81,0.3037753
82,0.2288351
83,-0.2796874
84,-0.3037753
85,0.03880835
86,-0.2689819
87,-0.2020712
88,-0.121778
89,0.2743344
90,0.7400346
91,0.05486679
92,0.2957458
93,0.5580363
94,0.3144813
95,-0.2582755
96,-0.4456263
97,-0.1083956
98,-0.04683733
99,0.09769011
100,0.04148483
101,-0.03613186
102,0.04683781
103,-0.04416132
104,-0.06557274
105,-0.1913648
106,-0.1860118
107,0.05486679
108,0.0521903
109,0.01204395
110,-0.06021976
111,-0.06557274
112,-0.06824923
113,-0.05486679
114,-0.0521903
115,-0.05486679
116,-0.03880835
117,-0.03613186
118,-0.03880835
119,-0.03613186
120,-0.03880835
121,-0.03880835
122,-0.03613186
123,-0.03345537
124,-0.03077888
125,-0.03613186
126,-0.04416132
127,-0.01204395
128,-0.006691456
129,-0.004014492
130,0.03345537
131,0.001338005
132,-0.03880835
133,-0.03613186
134,-0.03880835
135,-0.04683733
136,-0.0521903
137,-0.04148436
138,-0.02007341
139,-0.01472044
140,-0.01472044
141,-0.01472044
142,-0.01204395
143,-0.01472044
144,-0.01472044
145,-0.009367466
146,-0.004014492
147,-0.009367466
148,-0.01204395
149,-0.009367466
